feeder_id,high_load_kw
12011101,
12011102,
12011103,
12011104,
12011105,
12011106,
12011108,
12011109,4855.0
12011110,
12011112,
12011113,
12011114,4454.0
12011115,3393.0
12011116,2380.0
12011117,
12011118,
12011119,
12011120,
12011121,
12011132,
12011133,4971.0
12011134,
12040406,439.0
12040407,
12040408,562.0
12040410,543.0
12041101,
12041102,
12041103,
12041104,
12041105,4633.0
12041106,3954.0
12041107,
12041110,4671.0
12041111,
12041112,
12041115,6070.0
12041116,4078.0
12041117,
12041130,
12041131,4940.0
12041132,7420.0
12041133,
12041134,3318.0
12060401,
12060402,721.0
12060403,542.0
12060404,868.0
12060405,
12060406,685.0
12060407,
12060408,
12060409,711.0
12060410,475.0
12060411,675.0
12061102,3577.0
12061103,4984.0
12061105,3667.0
12080401,611.0
12080402,1084.0
12090401,846.0
12090403,1012.0
12090408,717.0
12090409,491.0
12091101,2848.0
12091102,6023.0
12091103,
12091104,4319.0
12091105,5997.0
12091106,3909.0
12091108,3845.0
12091110,6411.0
12091111,2671.0
12091112,5567.0
12091115,1996.0
12091116,6961.0
12091117,5544.0
12091118,3377.0
12101101,
12101102,
12101103,3429.0
12101104,3030.0
12111101,
12111102,
12111103,6362.0
12111104,
12111105,
12111106,2582.0
12111107,
12111108,6688.0
12111111,
12111112,
12111113,
12111114,
12111115,
12111116,
12141101,3495.0
12141102,2215.0
12141103,2955.0
12141104,4439.0
12221101,
12221102,5280.0
12221103,6322.0
12221104,
12221105,7006.0
12221106,6696.0
12221107,6507.0
12221108,
12232102,9686.0
12232103,11086.0
12232104,
12232105,13381.0
12232107,15954.0
12232108,7183.0
12232109,
12232110,
12232111,9437.0
12240401,773.0
12501103,4704.0
12501104,
12501105,4840.0
12501107,
12501108,3409.0
12501109,
12501110,2855.0
12501113,6015.0
12501114,
12540401,776.0
12540402,306.0
12541101,2578.0
12541102,2697.0
12541103,3679.0
12541104,3085.0
12541105,4826.0
12541106,4658.0
12541107,3485.0
12541109,
12541112,3969.0
12541114,1691.0
12541115,4632.0
12600401,671.0
12640401,323.0
12650401,810.0
12660401,134.0
12660402,342.0
12660403,275.0
12660404,248.0
12670401,943.0
12690401,548.0
12840401,
12840402,386.0
13030401,882.0
13030402,949.0
13111101,2866.0
13111102,4088.0
13111103,
13111104,4584.0
13111105,
13111106,4488.0
13111107,6469.0
13111108,
13111109,5568.0
13111110,
13111111,
13111112,
13111113,7803.0
13111114,6799.0
13111115,1370.0
13111116,2842.0
13111151,2302.0
13151101,3749.0
13151102,1900.0
13151105,5672.0
13170401,1212.0
13180401,824.0
13310401,937.0
13310402,622.0
13380401,898.0
13480401,870.0
13501101,8344.0
13501103,
13501104,4278.0
13501105,6149.0
13501106,
13501108,5886.0
13501109,6552.0
13501110,4717.0
13501111,9191.0
13501112,4960.0
13520401,668.0
13660402,941.0
13681101,
13681103,3970.0
13681105,
13681110,1050.0
13681111,4682.0
13681112,3400.0
13681113,7466.0
13681114,
13700401,516.0
13751101,3394.0
13751102,4544.0
13751103,
13761101,7085.0
13761102,5032.0
13761103,
13761104,6468.0
13761105,
13761106,5245.0
13761107,
13761108,6634.0
13761109,5369.0
13761110,
13761111,
13761112,
13761113,
13761114,
13801105,4395.0
13840401,594.0
13840402,
13840403,571.0
13840404,
13840405,480.0
13840406,712.0
14052101,14315.0
14052103,13369.0
14091102,6032.0
14091103,5762.0
14091104,
14091105,7314.0
14091107,
14091108,7165.0
14091109,7163.0
14091110,4331.0
14091111,4572.0
14232102,10158.0
14232103,5534.0
14232104,11497.0
14232106,10032.0
14232107,10893.0
14232108,9263.0
14232111,9697.0
14232114,7337.0
14232117,5116.0
14232118,8503.0
14232119,8856.0
14241101,
14351103,7410.0
14351104,6406.0
14351105,1701.0
14351107,8092.0
14351108,7222.0
14351109,7380.0
14351110,5718.0
14351111,
14351112,
14381102,
14381103,
14381104,6306.0
14381105,6730.0
14381106,7329.0
14381107,
14381108,6808.0
14402103,7700.0
14402104,10843.0
14402105,10896.0
14402106,12432.0
14402107,11254.0
14402108,12182.0
14402109,12279.0
14402110,9904.0
14422109,7861.0
14422111,10022.0
14471102,6255.0
14471103,4563.0
14471104,4207.0
14471105,
14471106,
14471107,5143.0
14471108,5747.0
14471109,6810.0
14471110,
14471112,3537.0
14472111,
14502104,11236.0
14502105,9088.0
14502106,9170.0
14502107,11706.0
14502108,10853.0
14502109,9361.0
14502110,16191.0
14662113,11780.0
14722101,7814.0
14722102,4193.0
14722103,9287.0
14722106,8925.0
14722107,7980.0
14722109,11462.0
14722111,
82831109,6857.0
163741102,5662.0
163741103,2305.0
169951101,7526.0
