feeder_id,IC_min_kW
012011101,
012011102,
012011103,
012011104,
012011105,
012011106,
012011108,3879.5684
012011109,1726.2366
012011110,2908.276
012011112,2411.2092
012011113,2963.0369
012011114,2334.7659
012011115,1800.8114
012011116,1705.7823
012011117,1300.9247
012011118,2289.2273
012011119,3730.3845
012011120,1595.9426
012011121,3102.378
012011132,1661.7241
012011133,1793.1108
012011134,4176.933
012040406,10.0
012040407,736.4103
012040408,647.4074
012040410,668.05554
012041101,3006.5881
012041102,2480.152
012041103,1861.6666
012041104,
012041105,1666.688
012041106,1671.9744
012041107,2993.9
012041110,2034.7474
012041111,1298.5714
012041112,
012041115,2371.862
012041116,356.16412
012041117,6053.896
012041130,2219.8567
012041131,2117.6091
012041132,2099.8103
012041133,2730.8718
012041134,2431.2522
012060401,1166.1538
012060402,333.05084
012060403,768.6539
012060404,555.85364
012060405,990.68964
012060406,
012060407,905.0
012060408,1016.6667
012060409,617.5806
012060410,684.321
012060411,733.2174
012061102,3009.1775
012061103,2375.8901
012061105,2059.2349
012080401,508.26923
012080402,583.82117
012090401,327.39838
012090403,419.92062
012090408,233.64407
012090409,498.90244
012091101,2229.138
012091102,2020.567
012091103,2438.2844
012091104,1924.8027
012091105,2033.0748
012091106,621.6326
012091108,2426.9678
012091110,2772.2786
012091111,1983.9368
012091112,1606.3334
012091115,2466.3801
012091116,896.2661
012091117,1687.4117
012091118,2054.4915
012101101,1987.4424
012101102,1574.2858
012101103,1918.9949
012101104,2005.3937
012111101,2762.833
012111102,3056.9333
012111103,2467.1587
012111104,3904.8352
012111105,1973.1888
012111106,3609.2378
012111107,3273.9424
012111108,2455.424
012111111,
012111112,
012111113,
012111114,
012111115,
012111116,
012141101,3158.9788
012141102,2359.1304
012141103,2203.907
012141104,1722.7355
012221101,2621.4175
012221102,1997.4686
012221103,1054.2496
012221104,3794.599
012221105,2592.0518
012221106,1691.4902
012221107,1423.6052
012221108,2033.7539
012232102,4965.517
012232103,2893.6714
012232104,4889.0107
012232105,4171.1055
012232107,1977.8973
012232108,4619.943
012232109,3064.054
012232110,6285.607
012232111,0.0
012240401,0.0
012501103,879.89233
012501104,1445.0347
012501105,0.0
012501107,4829.857
012501108,2027.9727
012501109,700.5042
012501110,1754.2885
012501113,1.64042
012501114,2569.1187
012540401,506.2963
012540402,680.4667
012541101,3052.7893
012541102,2147.479
012541103,1932.2954
012541104,1644.5391
012541105,2345.9885
012541106,1361.3231
012541107,2496.9795
012541109,1914.9718
012541112,2977.593
012541114,3509.3271
012541115,0.0
012600401,491.34616
012640401,309.0566
012650401,389.84128
012660401,1271.1765
012660402,733.8889
012660403,806.8421
012660404,408.60464
012670401,400.06897
012690401,543.5714
012840401,0.0
012840402,627.451
013030401,436.76923
013030402,346.03174
013111101,3020.5405
013111102,1513.2181
013111103,3068.718
013111104,2863.5671
013111105,1846.8475
013111106,1689.5139
013111107,1892.0237
013111108,2011.0059
013111109,1474.1774
013111110,2025.1501
013111111,3175.4285
013111112,3659.5908
013111113,2116.6094
013111114,1728.8958
013111115,3765.7764
013111116,3013.976
013111151,25.918367
013151101,2284.4155
013151102,2459.9473
013151105,2314.7864
013170401,643.3073
013180401,538.58844
013310401,369.7
013310402,540.53766
013380401,488.3
013480401,482.26562
013501101,775.9938
013501103,2174.1
013501104,2744.092
013501105,1737.2122
013501106,1930.9396
013501108,1614.0778
013501109,2240.0151
013501110,2690.127
013501111,1416.9309
013501112,1993.8188
013520401,587.1622
013660402,436.62338
013681101,2560.876
013681103,2351.6157
013681105,3636.6853
013681110,3202.8677
013681111,
013681112,2321.029
013681113,2059.0315
013681114,2357.1128
013700401,386.04395
013751101,1816.2235
013751102,2.3931625
013751103,2942.6543
013761101,0.0
013761102,2161.7683
013761103,1225.6052
013761104,1518.1405
013761105,3064.5344
013761106,2171.93
013761107,1716.5197
013761108,1271.424
013761109,1748.2825
013761110,4395.5103
013761111,1960.3644
013761112,2048.0803
013761113,2499.0261
013761114,2736.7422
013801105,1440.7235
013840401,995.9677
013840402,1005.9459
013840403,632.9752
013840404,1184.5454
013840405,437.42856
013840406,720.7895
014052101,4076.7146
014052103,3855.634
014091102,2186.9348
014091103,1924.7415
014091104,2984.315
014091105,1445.3049
014091107,2533.94
014091108,3296.0076
014091109,2691.8525
014091110,2035.6887
014091111,2400.4822
014232102,5482.5884
014232103,4822.024
014232104,3505.2856
014232106,4458.7393
014232107,3394.6814
014232108,3636.0027
014232111,3735.0205
014232114,5412.269
014232117,5279.139
014232118,5063.675
014232119,4198.8403
014241101,1481.6312
014351103,2229.8535
014351104,1920.48
014351105,3246.7527
014351107,1686.5161
014351108,1285.8018
014351109,1568.983
014351110,2094.0962
014351111,1677.5579
014351112,2081.1309
014381102,2066.417
014381103,2190.165
014381104,1194.5007
014381105,2409.2642
014381106,2103.7927
014381107,2352.745
014381108,1145.8268
014402103,4003.9534
014402104,3947.4497
014402105,4424.591
014402106,3174.399
014402107,3797.1873
014402108,1585.9479
014402109,3910.911
014402110,3912.1445
014422109,4535.3867
014422111,2784.915
014471102,1320.3579
014471103,2695.8115
014471104,1853.2439
014471105,6309.1606
014471106,1900.7253
014471107,1768.3529
014471108,1848.4587
014471109,0.0
014471110,2394.3623
014471112,4867.6777
014472111,3618.453
014502104,2840.035
014502105,3963.503
014502106,3327.764
014502107,3989.2488
014502108,3446.7664
014502109,4508.879
014502110,8940.0
014662113,3565.7195
014722101,1213.4979
014722102,
014722103,5036.6445
014722106,6335.9927
014722107,4413.5967
014722109,4054.0505
014722111,4084.2234
082831109,1269.2465
163741102,224.9415
163741103,357.6861
169951101,1190.259
