geoid,geoid_str,load
060014001001,"1 (Tract 4001, Alameda, CA)",247.48800501227342
060014002001,"1 (Tract 4002, Alameda, CA)",134.25600191950792
060014003001,"1 (Tract 4003, Alameda, CA)",189.1600014686583
060014004001,"1 (Tract 4004, Alameda, CA)",159.44000028371806
060014005001,"1 (Tract 4005, Alameda, CA)",175.24000122547136
060014006001,"1 (Tract 4006, Alameda, CA)",76.80000190734864
060014007001,"1 (Tract 4007, Alameda, CA)",21.240000343322748
060014008001,"1 (Tract 4008, Alameda, CA)",44.8400019645691
060014009001,"1 (Tract 4009, Alameda, CA)",75.6000007271767
060014010001,"1 (Tract 4010, Alameda, CA)",20.159999471902847
060014011001,"1 (Tract 4011, Alameda, CA)",49.4400010228157
060014012001,"1 (Tract 4012, Alameda, CA)",64.28000082671642
060014013001,"1 (Tract 4013, Alameda, CA)",49.08000401258469
060014014001,"1 (Tract 4014, Alameda, CA)",110.75999807119372
060014015001,"1 (Tract 4015, Alameda, CA)",15.720000529289237
060014016001,"1 (Tract 4016, Alameda, CA)",37.000001835823056
060014017001,"1 (Tract 4017, Alameda, CA)",28.360002279281616
060014018001,"1 (Tract 4018, Alameda, CA)",38.400000000000006
060014022001,"1 (Tract 4022, Alameda, CA)",60.440000355243704
060014024001,"1 (Tract 4024, Alameda, CA)",32.520000362396246
060014025001,"1 (Tract 4025, Alameda, CA)",19.00000057220459
060014026001,"1 (Tract 4026, Alameda, CA)",26.079999637603763
060014027001,"1 (Tract 4027, Alameda, CA)",8.560000014305114
060014028011,"1 (Tract 4028.01, Alameda, CA)",23.20000323653222
060014028021,"1 (Tract 4028.02, Alameda, CA)",0.6880000829696655
060014029001,"1 (Tract 4029, Alameda, CA)",51.48000125885011
060014030001,"1 (Tract 4030, Alameda, CA)",22.120000034570694
060014031001,"1 (Tract 4031, Alameda, CA)",45.24800225496293
060014033011,"1 (Tract 4033.01, Alameda, CA)",43.16000328063964
060014033021,"1 (Tract 4033.02, Alameda, CA)",27.280001640319824
060014034011,"1 (Tract 4034.01, Alameda, CA)",27.040001526474953
060014034021,"1 (Tract 4034.02, Alameda, CA)",-7.2
060014035011,"1 (Tract 4035.01, Alameda, CA)",45.119998842477806
060014035021,"1 (Tract 4035.02, Alameda, CA)",35.7600009918213
060014036001,"1 (Tract 4036, Alameda, CA)",47.92000019550322
060014037011,"1 (Tract 4037.01, Alameda, CA)",80.8400022983551
060014037021,"1 (Tract 4037.02, Alameda, CA)",66.15999979972841
060014038001,"1 (Tract 4038, Alameda, CA)",22.56000065803528
060014039001,"1 (Tract 4039, Alameda, CA)",18.720000463724134
060014040001,"1 (Tract 4040, Alameda, CA)",60.11999955177308
060014041011,"1 (Tract 4041.01, Alameda, CA)",70.62400104999543
060014041021,"1 (Tract 4041.02, Alameda, CA)",49.31999967098237
060014042001,"1 (Tract 4042, Alameda, CA)",189.00000169277166
060014043001,"1 (Tract 4043, Alameda, CA)",176.7600030183791
060014044001,"1 (Tract 4044, Alameda, CA)",236.0880046963689
060014045011,"1 (Tract 4045.01, Alameda, CA)",227.40000137090652
060014045021,"1 (Tract 4045.02, Alameda, CA)",137.34399964809404
060014046001,"1 (Tract 4046, Alameda, CA)",123.55999994277937
060014047001,"1 (Tract 4047, Alameda, CA)",90.44000136852267
060014048001,"1 (Tract 4048, Alameda, CA)",59.56000089645387
060014049001,"1 (Tract 4049, Alameda, CA)",49.720003151893636
060014050001,"1 (Tract 4050, Alameda, CA)",79.96000436544409
060014051001,"1 (Tract 4051, Alameda, CA)",89.80000078678117
060014052001,"1 (Tract 4052, Alameda, CA)",73.93600357174874
060014053011,"1 (Tract 4053.01, Alameda, CA)",67.83999955654147
060014053021,"1 (Tract 4053.02, Alameda, CA)",26.159999990463263
060014054011,"1 (Tract 4054.01, Alameda, CA)",38.72000083923341
060014054021,"1 (Tract 4054.02, Alameda, CA)",153.00000357627871
060014055001,"1 (Tract 4055, Alameda, CA)",70.04000179767611
060014056001,"1 (Tract 4056, Alameda, CA)",33.99999928474426
060014057001,"1 (Tract 4057, Alameda, CA)",94.36000082492829
060014058001,"1 (Tract 4058, Alameda, CA)",80.60000090599061
060014059011,"1 (Tract 4059.01, Alameda, CA)",139.6800028383732
060014059021,"1 (Tract 4059.02, Alameda, CA)",126.36000125408174
060014060001,"1 (Tract 4060, Alameda, CA)",27.807999503612514
060014061001,"1 (Tract 4061, Alameda, CA)",91.77600391656162
