feeder_id,original_capacity,upgraded
82832114,-9767.0,True
252411104,-9678.0,True
252052110,-6279.0,True
83801111,-6225.0,True
42031125,-5917.0,True
252411106,-5837.0,True
102601101,-5591.0,True
42451101,-5548.0,True
252052115,-3246.0,True
252062112,-2572.0,True
83332101,-2082.0,True
22031104,-1867.0,True
24020406,-1381.0,True
254071105,-1345.0,True
252411112,-1256.0,True
22680401,-1157.0,True
24160406,-1061.0,True
22470402,-1019.0,True
22400401,-992.0,True
12960401,-965.0,True
183221111,-927.0,True
22550402,-701.0,True
22500403,-686.0,True
13020401,-682.0,True
83040401,-612.0,True
22590402,-562.0,True
12330403,-561.0,True
22480401,-547.0,True
24160409,-506.0,True
22580401,-496.0,True
24160408,-474.0,True
22670401,-456.0,True
13030401,-444.0,True
22610402,-444.0,True
22590403,-443.0,True
13030402,-435.0,True
24160410,-433.0,True
13480401,-405.0,True
13380401,-404.0,True
22580402,-385.0,True
24020402,-381.0,True
163561102,-369.0,True
12670401,-363.0,True
13020402,-355.0,True
42450411,-349.0,True
22470401,-334.0,True
12330401,-333.0,True
22440402,-322.0,True
13310401,-321.0,True
13660402,-316.0,True
12080402,-313.0,True
13170401,-293.0999755859375,True
22270406,-292.0,True
13210401,-279.0,True
13550401,-265.199951171875,True
12240402,-252.0,True
13740401,-221.0,True
12240401,-204.0,True
12960402,-203.9000244140625,True
13180401,-202.5999755859375,True
22500402,-161.0,True
22550401,-160.0,True
13850401,-159.4000244140625,True
12650402,-126.0,True
12501113,-106.0,True
252501101,-99.0,True
22490401,-90.0,True
102650401,-87.0,True
103751101,-84.0,True
13560401,-83.0,True
22510402,-76.0,True
22440401,-70.0,True
12600401,-67.0,True
22010402,-39.0,True
22340402,-37.0,True
22400402,-12.0,True
12650401,-9.0,True
