from_node,to_node,flow_kW,distance_km,cost
060014271003,060014073002,65822.543,1.464086095394026,96369.86996977539
060014271001,060014061002,57840.066,0.9269041224422849,53612.19561773384
060014061002,060014061001,56533.842,0.5716928753577216,32319.994687999126
060014273002,060014033022,53454.973,1.5945782553041654,85238.13758367127
060014061001,060014072004,32636.085,0.4350667164526125,14198.874338818361
060014072004,060014072003,27413.541,0.3318184409424881,9096.318435332976
060014072003,060014065003,24536.701,0.49556010727814176,12159.410179811688
060014073002,060014073001,23677.567,0.661922506178664,15672.71448885323
060019900000,060014090002,20222.756,3.272501911245167,66179.00766064467
060014073002,060014088002,18581.896,1.2502141309704933,23231.348959424085
060014287003,060019820001,17075.944,1.0871546091156847,18564.19122460132
060014033022,060014034011,15231.289,1.8495819662125663,28171.517456571833
060014033022,060014053021,14812.42,1.0391733660284834,15392.672350427629
060014065003,060014065002,14632.097,0.577486400955536,8449.837034962296
060014053021,060014053012,14110.404,0.33628450094848444,4745.110167321499
060014073002,060014090003,12538.24,1.4655699022574746,18375.66717128076
060014088002,060014089001,11056.896,0.8223883217647091,9093.062145366926
060014287002,060019819001,10953.076,1.3433749285036853,14714.08768839543
060014061001,060014072002,10505.816,0.6513641326921672,6843.111727063494
060014073001,060014075002,9775.2921,0.736088194970876,7195.477117202064
060014073001,060014087004,9331.3306,0.864097784174927,8063.182094863691
060014053012,060014053011,9173.7801,0.31265349412126925,2868.214402565167
060014072002,060014071023,9085.0161,0.5679035849712656,5159.413212711666
060014071023,060014071021,8379.1601,0.5628602848214096,4716.296440450191
060014053011,060014052004,8219.3401,0.5623732183405292,4622.336744672367
060014090002,060014324003,7683.552,1.8671024363168063,14345.97865876687
060014065002,060014066011,7644.4041,0.5938268456316909,4539.452373436964
060014034011,060014037011,7546.6004,0.31128359832932506,2349.1329276655238
060014052004,060014038003,7173.7721,0.48529295356124647,3481.3810505842657
060014271003,060014061003,7162.1761,1.2794230182858843,9163.452963357024
060014075002,060014075001,6945.8481,0.5707641617235116,3964.441168255346
060014066011,060014066014,6815.8121,0.4305075296456401,2934.2584296998625
060014011003,060014011002,6770.1277,0.4885629153927701,3307.6333266933493
060019820001,060014105001,6721.0681,1.2417365847287098,8345.79614822308
060014037011,060014035011,6714.5684,0.37241986442944297,2500.6386532302217
