node,additional_capacity_kW,original_demand_kW,upgraded
060014067005,274.72,274.719997358322,True
060014414012,2996.512,1565.9520171284714,True
060014302002,557.70401,557.7040142536159,True
060014430012,1255.36,627.6800163269038,True
060014087002,1022.56,1022.5600199222565,True
060014214002,838.736,838.7360038757324,True
060014506081,927.71976,927.7197608947757,True
060014419244,157.6,157.6000030517578,True
060014413022,907.84,907.840003824234,True
060014431031,968.19201,968.1920073211213,True
060014381003,941.60001,941.6000105500227,True
060014216003,142.60799,385.98400315046285,True
060014444003,2547.524,1278.7680142194035,True
060014371012,969.92,969.9200029850023,True
060014311002,1508.384,1508.3840311050428,True
060014433012,1063.36,1063.3600208044077,True
060014093002,496.00001,496.0000082440672,True
060014433212,868.00002,868.0000169277188,True
060014008001,1326.448,663.2240093365308,True
060014232002,568.28801,568.2880071163177,True
060014005003,2361.901,245.60000238418576,True
060014365001,2777.5505,2612.4558538794513,True
060014403012,1006.984,1006.9840115547178,True
060014362001,1192.1043,1004.0000098228458,True
060014515013,1709.3359,1097.2480138778708,True
060014041012,841.15201,465.5360040426254,True
060014444002,1176.176,965.6000120162975,True
060014235002,503.96801,503.96801242828354,True
060014056002,366.56,366.56000265479076,True
060014403331,4534.0758,4534.0757636442795,True
060014513002,473.92389,699.4560093402865,True
060014017001,508.73599,508.7359949111936,True
060014428001,3798.6881,2930.8480417847686,True
060014431051,1279.808,1279.8080071449303,True
060014335004,999.68,999.6800030708325,True
060014225001,387.776,387.77599964141837,True
060014211002,621.184,621.1840047955509,True
060014414022,1206.528,1206.5279864311246,True
060014356022,145.10406,170.40000190734867,True
060014514031,1240.64,620.3200056076048,True
060014093001,986.24002,986.2400166511541,True
060014431044,868.00035,794.4320079326628,True
060014411002,1550.04,1550.0400066375764,True
060014442002,1607.496,1607.496020841603,True
060014366013,2094.0017,1695.9120231628447,True
060014403013,4235.4239,4235.423893022541,True
060014052002,508.76001,508.76001238822914,True
060014507011,670.80801,670.8080050468441,True
060014512012,1642.304,1642.3040018081717,True
060014415232,1067.52,533.7600072383877,True
060014364041,857.34402,857.3440196514146,True
060014506092,820.736,820.7360038757334,True
060014012002,552.32,276.16000193357473,True
060014334004,898.17601,898.1760116577151,True
060014506012,1236.6319,1236.6319160938276,True
060014027002,801.37603,470.7200267791747,True
060014419262,1370.048,685.0240170001982,True
060014043001,578.19928,412.67200310230226,True
060014212002,1050.0782,902.8000114917752,True
060014104003,928.86401,928.8640100181096,True
060014403014,1728.3438,1722.4320091962813,True
060014024001,485.976,485.9760036468504,True
060014012001,1120.448,560.2239982604976,True
060014309003,1016.096,1016.0960098266596,True
060014058003,1200.64,600.3200105667111,True
060014045022,850.97601,850.9760143280039,True
060014431022,489.60001,489.60000724792434,True
060014360003,3629.0561,1814.5280352830955,True
060014502003,1388.544,909.56799955368,True
060014373003,2539.516,1460.3960188925257,True
060014511043,6621.488,6621.48795933724,True
060014080001,556.48402,556.4840210914609,True
060014501011,3068.2841,3068.284092485912,True
060014352001,1986.36,1986.3600152492584,True
060014230003,570.01602,426.5600061416625,True
060014414015,188.63198,1024.920005559923,True
060014025002,478.62399,478.6239864349365,True
060014515011,1921.2801,960.6400359153752,True
060014070003,749.08802,749.088016080856,True
060014079001,331.264,331.2639985322951,True
060014049003,485.02399,485.023993372917,True
060014415211,2094.7097,1311.1440083026894,True
060014013003,2168.832,1084.4160137653344,True
060014230001,803.62001,803.620011639595,True
060014419234,4733.6148,4361.656024271248,True
060014039003,1239.232,619.6160028219222,True
060014233003,323.52001,323.52000980377187,True
060014357002,1461.6694,859.5200107455269,True
060014366012,2848.2189,2137.2800336122523,True
060014059011,210.93143,671.9600128650663,True
060014512021,1227.5559,2753.0240303993296,True
060014415212,2025.92,1012.9600184440635,True
060014370003,3612.5183,2420.6960103929077,True
060014062014,473.92002,236.96001108884815,True
060014301021,1989.624,1989.624011754993,True
060014101001,743.4,743.4000031471248,True
060014071022,1081.92,540.9600027561185,True
060014014003,403.04001,403.04000732898714,True
060014515031,1475.232,3121.2479933023487,True
060014516025,1145.26,1145.2600041031837,True
060014224001,307.552,307.5520028114318,True
060014082003,557.824,557.8240021705626,True
060014340003,1380.608,690.3040242671964,True
060014063001,484.70401,484.70401124954213,True
060014328002,1158.16,1158.1600300788896,True
060014374002,2074.0937,1489.920010852819,True
060014430022,1733.44,866.7200078964244,True
060014262001,462.88,462.88000193834273,True
060014061004,852.74401,852.7440051496027,True
060014506082,1966.2158,810.176008915902,True
060014100003,369.15201,184.5760070800781,True
060014085001,1093.072,546.5360016345976,True
060014236011,1094.912,547.4560114383695,True
060014415252,3458.848,1729.4240145921713,True
060014331042,1845.12,922.5600177586076,True
060014237002,777.56801,777.5680140972134,True
060014353001,2586.2864,1944.652032995225,True
060014374001,784.44803,784.4480289459224,True
060014011004,1626.32,1635.704008579254,True
060014505021,1361.76,1361.7600076675449,True
060014446022,1644.28,1644.2799977302589,True
060014081002,1672.392,1672.3920270681378,True
060014429003,888.60801,888.608009088041,True
060014017002,476.64,476.6399964332579,True
060014239022,1652.7467,1089.6320139169693,True
060014105001,501.44001,501.44000763893115,True
060014206003,625.02402,625.024015140533,True
060014070001,1744.907,1620.872005355358,True
060014303001,924.06403,924.0640270233167,True
060014251044,2096.0,1048.0000067234039,True
060014333005,986.20801,986.2080071449288,True
060014099003,190.35187,577.1200059890742,True
060014304002,767.20002,767.2000164031989,True
060014413011,1136.2085,1430.3600328803068,True
060014001001,1416.24,1416.240025520327,True
060014369004,1725.6,1725.6000448584562,True
060014009002,843.20001,421.60000436305984,True
060014412005,3410.8251,1930.8000044822707,True
060014007001,781.13602,390.5680109590292,True
060014378003,1774.592,1774.5920329332416,True
060014365003,643.77601,643.7760061740871,True
060014069003,1217.496,1217.4960259854786,True
060014251045,403.744,403.7440009593963,True
060014076004,1735.9253,1123.4880042731766,True
060014215002,751.29602,375.6480096340177,True
060014028011,1006.7274,721.4080058574674,True
060014369001,2133.8854,1326.9120189428336,True
060014403382,915.00002,915.0000169634815,True
060014068002,403.55201,403.55200548171956,True
060014358004,825.12001,825.1200133323682,True
060014367001,849.9919,978.5600106000904,True
060014220001,5676.7646,2937.020025002957,True
060014420001,1478.756,981.824018168451,True
060014240011,569.40799,337.7600149154662,True
060014431041,1002.368,1002.3680318832413,True
060014382043,2001.2,2001.2000276327205,True
060014306003,3324.448,1825.4720298051898,True
060014372001,1751.404,1751.4039727449447,True
060014507432,5736.6407,3703.760093253853,True
060014103002,461.60001,461.6000118255612,True
060014363021,1805.392,1805.3920157432551,True
060014218002,556.384,556.3840049266812,True
060014075002,2447.944,1223.9720240116126,True
060014419231,534.97601,534.9760098695751,True
060014002001,637.88799,591.0080065011974,True
060014047002,601.40801,601.4080085515972,True
060014403043,2350.948,1254.4400156974812,True
060014517013,537.28001,537.2800055503841,True
060014331031,2640.2757,2157.46401896477,True
060014514044,716.43607,654.9760049939152,True
060014507521,5440.4,5440.400012683836,True
060014201002,258.56,258.5600035905837,True
060014083004,293.37601,293.37601211071006,True
060014328001,345.984,345.9840003013608,True
060014514032,1091.968,1091.9680235862756,True
060014516013,235.33596,1273.9520265817664,True
060014351032,1224.064,1224.064013195041,True
060014050001,615.33601,615.3360123515126,True
060014503003,1523.376,1523.37603145838,True
060014333002,1750.704,1750.7040126442914,True
060014364032,174.60797,1546.2800045013441,True
060014506032,1564.56,1564.5600234031695,True
060014443041,154.04797,2691.5600154876724,True
060014081005,1660.136,1660.1360132455868,True
060014339003,799.61602,799.6160193443292,True
060014052001,1290.368,1290.3680030822752,True
060014083002,803.44,803.4399980545038,True
060014225002,565.05601,282.5280041575432,True
060014431033,414.66785,1652.2080428123475,True
060014224003,1050.784,631.072014158964,True
060014419291,1208.848,1208.8480118989964,True
060014306004,596.80001,596.8000062942501,True
060014402003,512.42239,432.1600039482115,True
060014077003,986.4,493.2000016689297,True
060014048002,785.98401,392.99200509786607,True
060014382013,2475.8453,1261.5520127773302,True
060014379001,807.328,807.3280008912084,True
060014419242,1608.704,1608.7040216922803,True
060014261005,584.35199,584.3519946098324,True
060014427002,1766.144,883.0720117092134,True
060014302001,1220.416,1220.4160165786773,True
060014354001,2275.6034,1522.8400589466103,True
